C1= C2= C3= C4= 
[1205, 441][1248, 401][1321, 562][1372, 513]
[1071.1, 224.233][1118.61, 181.963][1176.2, 335.304][1233.32, 284.399]
[1075.85, 223.173][1122.41, 181.383][1179.99, 333.889][1237.75, 284.002]
[1081.06, 222.584][1129.09, 181.435][1185.29, 333.305][1243.27, 284.469]
[1086.05, 222.913][1132.46, 180.87][1189.25, 332.816][1248.49, 283.121]
[1092.5, 222.856][1138.48, 180.385][1194.37, 331.027][1252.91, 280.371]
[1100.06, 220.297][1146.27, 178.314][1204.22, 329.893][1259.46, 276.823]
[1110.72, 219.392][1159.86, 177.23][1213.36, 327.898][1268.79, 275.43]
[1120.46, 218.397][1167.46, 175.814][1222.75, 325.79][1277.5, 273.51]
[1126.65, 215.959][1171.71, 174.697][1228.69, 324.155][1283.46, 270.364]
[1127.61, 212.69][1173.65, 171.343][1231.94, 322.621][1283.99, 266.558]
[1124.54, 209.616][1172.17, 167.921][1229.83, 320.621][1282.52, 264.727]
[1123.14, 208.884][1171.46, 166.915][1228.63, 320.725][1280.72, 264.141]
[1122.38, 209.441][1170.95, 167.252][1228.3, 321.928][1279.12, 265.37]
[1119.97, 207.689][1168.73, 166.978][1226.76, 322.326][1277.15, 264.97]
[1116.8, 206.359][1165.98, 165.685][1223.72, 320.999][1273.8, 261.938]
[1112.32, 203.692][1160.71, 162.767][1219.88, 318.877][1269.46, 259.603]
[1107.39, 200.788][1154.06, 158.555][1216.01, 315.562][1264.91, 255.574]
[1101.18, 194.744][1148.46, 153.148][1210.61, 309.73][1260.68, 250.878]
[1094.67, 187.366][1141.31, 146.261][1205.25, 303.057][1255.7, 244.547]
[1088.5, 180.638][1134.92, 139.356][1198.04, 295.761][1250.15, 238.901]
[1083.71, 175.791][1129.7, 134.644][1192.43, 290.19][1246.12, 233.516]
[1080.83, 173.777][1127.85, 131.633][1188.63, 286.511][1243.26, 231.354]
[1078.34, 172.322][1123.98, 129.404][1185.16, 283.215][1239.42, 227.042]
[1075.33, 169.896][1120.44, 127.199][1180.83, 280.182][1236.45, 225.415]
[1072.47, 167.82][1118.55, 125.572][1178.31, 277.915][1234.16, 224.792]
[1071.13, 165.803][1116.59, 123.354][1176.14, 275.76][1232.98, 223.078]
[1070.96, 166.28][1117.88, 122.85][1175.07, 274.764][1231.84, 222.963]
[1070.87, 168.922][1116.44, 124.732][1174.28, 277.369][1231.26, 224.869]
