C1= C2= C3= C4= 
[1491, 537][1568, 473][1730, 760][1821, 682]
[1580.73, 492.247][1634.73, 435.329][1768.78, 648.907][1835.55, 588.654]
[1585.31, 494.336][1639.69, 437.22][1773.47, 652.27][1843.29, 594.515]
[1589.68, 496.939][1643.76, 440.844][1777.78, 657.803][1851.99, 602.298]
[1594.08, 501.311][1646.47, 443.412][1782.08, 662.962][1859.09, 608.341]
[1596.12, 504.754][1645.76, 446.046][1786.29, 668.122][1863.42, 612.454]
[1598.24, 510.644][1648.08, 449.308][1785.91, 672.354][1864.82, 617.338]
[1598.21, 511.721][1648.51, 451.857][1785.9, 675.282][1865, 619.907]
[1597.36, 511.96][1645.14, 452.68][1780.95, 674.862][1864.79, 621.244]
[1594.8, 512.133][1643.54, 454.479][1778.65, 675.925][1861.75, 622.219]
[1592.62, 512.25][1640.68, 454.129][1777.21, 676.671][1858.53, 622.029]
[1590.82, 514.64][1640.96, 457.321][1771.31, 677.77][1854.98, 624.428]
[1587.01, 521.428][1640.53, 466.189][1765.77, 685.561][1850.95, 634.103]
[1585.09, 530.66][1639.17, 474.702][1766.55, 696.087][1849.05, 643.458]
[1583.52, 537.973][1638.03, 481.747][1766.77, 704.063][1848.61, 650.813]
[1586.32, 536.578][1642.3, 481.3][1771.8, 702.564][1849.64, 647.673]
[1587.55, 530.742][1646.38, 473.877][1773.56, 691.974][1849.16, 638.424]
[1584.68, 521.217][1642.8, 464.573][1770.5, 682.23][1845.24, 626.237]
[1582.97, 512.637][1640.8, 455.875][1769.19, 673.176][1843.57, 618.497]
[1582.78, 501.914][1639.49, 444.771][1770.16, 661.498][1843.97, 606.386]
[1580.27, 494.467][1635.2, 434.972][1765.59, 653.008][1841.62, 596.095]
[1578.3, 489.01][1631.85, 428.906][1765.77, 647.925][1841.48, 590.532]
[1577.36, 487.502][1632.18, 426.65][1767.05, 647.575][1843.96, 591.274]
[1576.07, 485.896][1632.15, 426.223][1767.14, 649.461][1845.26, 591.119]
[1573.34, 485.062][1628.36, 426.023][1763.42, 650.151][1843.63, 591.116]
[1569.5, 487.971][1624.85, 426.531][1759.36, 651.908][1841.76, 593.507]
[1564.72, 490.578][1623.86, 429.898][1756.17, 653.897][1838.52, 597.764]
[1561.17, 491.042][1623.19, 432.742][1753.48, 657.059][1836.6, 601.229]
[1559.68, 491.458][1620.67, 433.242][1752.89, 658.652][1836, 602.473]
[1560.35, 493.286][1619.35, 433.972][1755.1, 659.324][1833.81, 599.681]
[1560.88, 492.373][1617.45, 432.788][1754.77, 657.504][1832.4, 599.854]
[1558.51, 489.14][1614.06, 429.361][1749.61, 652.367][1826.41, 596.568]
[1553.82, 483.206][1607.44, 424.156][1738.4, 643.506][1812.53, 585.347]
[1547.99, 475.533][1600.99, 417.048][1729.87, 632.138][1803.13, 576.813]
[1541.86, 468.29][1592.96, 408.216][1720.54, 619.474][1791.13, 563.435]
[1538.94, 463.35][1584.52, 399.15][1711.4, 606.308][1780.81, 552.035]
[1531.65, 450.478][1581.12, 390.066][1699.1, 591.243][1769.69, 539.191]
[1523.34, 439.081][1572.4, 379.869][1687.05, 577.12][1756.84, 525.314]
[1512.43, 425.811][1564.92, 369.835][1673.01, 561.52][1741.35, 510.179]
[1500.16, 413.517][1550.42, 357.725][1656.42, 545.219][1723.08, 492.486]
[1486.73, 400.92][1536.69, 346.169][1640.08, 529.967][1703.04, 476.433]
[1473.56, 388.841][1521.86, 335.144][1622.92, 515.552][1684.61, 461.962]
[1460.19, 377.238][1508.4, 324.628][1606.3, 501.675][1664.71, 445.081]
[1447.8, 369.486][1494.23, 315.314][1589.66, 488.329][1648.32, 434.134]
[1433.38, 362.701][1480.81, 309.357][1572.1, 480.273][1629.26, 426.458]
[1420.3, 355.477][1468.22, 303.337][1554.09, 469.848][1614.51, 420.684]
[1407.36, 349.874][1455.97, 299.212][1538.15, 462.537][1597.08, 414.898]
[1395.11, 344.893][1442.54, 295.91][1521.48, 456.976][1579.32, 406.434]
[1383.46, 340.206][1430.56, 292.494][1505.11, 450.498][1563.87, 400.871]
[1369.93, 334.476][1417.36, 288.637][1490.49, 443.943][1547.93, 395.034]
[1359.67, 331.58][1404.77, 284.179][1479.23, 436.635][1532.85, 385.327]
[1352.99, 317.915][1395.18, 269.274][1470.24, 421.459][1524.74, 372.634]
[1344.27, 304.83][1385.97, 256.078][1458.42, 407.315][1515.09, 358.948]
[1338.08, 298.904][1378.57, 248.314][1449.71, 398.677][1507.23, 348.625]
[1333.12, 293.782][1374.16, 244.068][1442.94, 392.994][1503.44, 344.804]
[1328.22, 287.181][1370.29, 241.881][1437.4, 389.285][1499.66, 341.939]
[1324.88, 285.639][1369.53, 241.128][1433.14, 386.898][1496.47, 341.342]
[1320.96, 285.647][1367.31, 240.27][1429.77, 385.746][1492.2, 340.108]
[1319.54, 288.071][1366.07, 242.861][1430.38, 389.104][1491.51, 342.214]
[1319.03, 293.538][1364.8, 249.052][1431.45, 395.902][1490.39, 349.502]
[1316.85, 300.332][1362.06, 255.145][1427.55, 402.154][1487.18, 356.667]
[1312.24, 304.651][1356.44, 260.642][1422.62, 407.892][1481.05, 361.036]
[1305.34, 310.358][1349.35, 266.083][1416.08, 412.965][1473.32, 366.794]
[1298.42, 313.116][1340.83, 268.037][1408.91, 415.549][1465.8, 369.61]
[1293.87, 315.452][1333.06, 267.978][1405.76, 418.423][1459.25, 369.155]
[1290.38, 317.599][1327.4, 267.417][1403.67, 419.283][1453.13, 365.15]
[1285.31, 319.014][1322.42, 268.764][1396.26, 420.019][1450.15, 367.047]
[1281.81, 322.768][1321.34, 271.899][1393.89, 422.719][1448.07, 371.825]
[1279.51, 325.987][1318.64, 274.08][1393.39, 426.04][1446.96, 372.734]
[1276.89, 327.046][1318.6, 276.076][1390.17, 427.79][1443.01, 370.914]
[1275.11, 326.72][1316.82, 276.771][1387.38, 428.887][1442.54, 373.869]
[1271.74, 327.908][1312.59, 275.021][1385.27, 427.18][1440.24, 372.479]
[1264.83, 320.206][1304.16, 266.784][1376.21, 418.708][1431.9, 363.124]
[1256.97, 309.868][1297.73, 256.906][1370.43, 408.654][1424.96, 354.416]
[1251.1, 299.382][1290.96, 247.093][1365.93, 398.73][1419.29, 344.694]
[1246.59, 289.47][1287.5, 236.835][1362.5, 388.39][1418.44, 335.972]
[1243.14, 280.974][1285.17, 228.967][1361.35, 380.778][1417.56, 330.492]
[1242.01, 275.249][1284.03, 223.735][1360.81, 377.492][1417.24, 325.943]
[1240.91, 272.845][1284.65, 221.714][1361.89, 376.679][1419.34, 325.595]
[1240.73, 274.219][1286.37, 223.098][1364.25, 381.007][1421.91, 329.706]
[1240.9, 278.385][1285.98, 226.701][1367.21, 387.441][1424.74, 334.246]
[1241.78, 284.031][1286.41, 231.338][1368.49, 393.963][1427.35, 339.591]
[1241.51, 288.819][1286.94, 236.791][1369.07, 401.132][1429.83, 347.01]
[1242.04, 295.797][1286.92, 242.267][1370.8, 408.487][1431.57, 351.674]
[1242.09, 299.528][1288.57, 247.164][1369.42, 413.907][1435.1, 359.667]
[1243.49, 304.738][1295.22, 254.438][1374.28, 421.81][1439.66, 367.548]
