C1= C2= C3= C4= 
[1667, 307][1728, 259][1791, 418][1876, 374]
[1555.64, 139.034][1571.42, 108.009][1637.38, 202.293][1663.54, 186.198]
[1555.9, 139.503][1570.88, 108.143][1638.21, 203.886][1663.34, 185.918]
[1556.18, 139.999][1570.31, 108.286][1639.09, 205.576][1663.13, 185.622]
[1556.44, 140.458][1569.78, 108.418][1639.91, 207.138][1662.93, 185.348]
[1556.71, 140.928][1569.23, 108.553][1640.74, 208.736][1662.73, 185.067]
[1556.97, 141.394][1568.7, 108.687][1641.57, 210.32][1662.53, 184.789]
[1557.23, 141.86][1568.16, 108.82][1642.39, 211.905][1662.33, 184.511]
[1557.5, 142.324][1567.62, 108.954][1643.22, 213.484][1662.13, 184.234]
[1557.76, 142.786][1567.09, 109.087][1644.04, 215.057][1661.93, 183.958]
[1569.67, 140.332][1575.78, 146.123][1625.05, 199.039][1665.35, 190.763]
[1570.65, 140.611][1575.82, 148.532][1624.65, 199.516][1665.37, 190.926]
[1571.63, 140.893][1575.86, 150.958][1624.24, 199.996][1665.4, 191.09]
[1572.62, 141.174][1575.9, 153.384][1623.83, 200.477][1665.43, 191.254]
[1573.6, 141.454][1575.94, 155.798][1623.42, 200.954][1665.45, 191.417]
[1574.62, 141.746][1575.98, 158.32][1622.99, 201.454][1665.48, 191.587]
[1575.62, 142.032][1576.02, 160.785][1622.57, 201.941][1665.5, 191.754]
[1576.62, 142.316][1576.06, 163.24][1622.16, 202.427][1665.53, 191.92]
[1577.7, 142.625][1576.1, 165.905][1621.71, 202.955][1665.56, 192.1]
[1578.7, 142.91][1576.14, 168.362][1621.29, 203.441][1665.59, 192.266]
[1579.68, 143.19][1576.18, 170.774][1620.89, 203.918][1665.61, 192.429]
[1580.68, 143.474][1576.22, 173.225][1620.47, 204.403][1665.64, 192.595]
[1581.68, 143.76][1576.26, 175.694][1620.05, 204.892][1665.67, 192.762]
[1582.65, 144.038][1576.3, 178.096][1619.65, 205.368][1665.69, 192.924]
[1583.64, 144.321][1576.33, 180.533][1619.23, 205.85][1665.72, 193.089]
[1584.64, 144.606][1576.37, 182.996][1618.82, 206.337][1665.74, 193.255]
[1585.62, 144.886][1576.41, 185.404][1618.41, 206.814][1665.77, 193.418]
[1586.6, 145.165][1576.45, 187.813][1618, 207.291][1665.8, 193.581]
[1587.6, 145.45][1576.49, 190.272][1617.59, 207.777][1665.82, 193.747]
[1588.56, 145.725][1576.53, 192.645][1617.19, 208.247][1665.85, 193.908]
[1589.56, 146.01][1576.57, 195.108][1616.77, 208.735][1665.88, 194.074]
[1590.54, 146.288][1576.61, 197.505][1616.36, 209.209][1665.9, 194.236]
[1591.54, 146.574][1576.65, 199.971][1615.95, 209.697][1665.93, 194.403]
[1592.58, 146.872][1576.69, 202.543][1615.51, 210.206][1665.96, 194.577]
[1593.57, 147.154][1576.73, 204.974][1615.1, 210.687][1665.98, 194.741]
[1594.56, 147.436][1576.77, 207.404][1614.69, 211.168][1666.01, 194.905]
[1595.61, 147.737][1576.81, 210.007][1614.25, 211.684][1666.04, 195.081]
[1596.6, 148.018][1576.85, 212.429][1613.84, 212.163][1666.06, 195.245]
[1597.58, 148.3][1576.89, 214.864][1613.43, 212.645][1666.09, 195.409]
[1598.58, 148.585][1576.93, 217.321][1613.01, 213.131][1666.11, 195.576]
[1599.57, 148.868][1576.97, 219.757][1612.6, 213.613][1666.14, 195.74]
[1600.57, 149.153][1577.01, 222.223][1612.18, 214.101][1666.17, 195.907]
[1601.55, 149.431][1577.04, 224.622][1611.78, 214.576][1666.19, 196.069]
[1433.6, 5.62898][1569.3, 8.53668][1615.83, 191.904][1665.05, 202.746]
[1427.09, 0.694794][1570.62, 2.02319][1615.78, 191.323][1663.97, 202.532]
[1422.66, -2.33062][1571.45, -1.63936][1612.18, 189.088][1665.12, 200.211]
[1419.9, -3.97119][1570.57, -3.98222][1610.15, 187.825][1665.76, 201.282]
[1417.65, -5.47992][1570.92, -5.65098][1612.21, 188.841][1666.18, 201.996]
[1416.15, -5.85167][1570.57, -6.73085][1613.71, 189.583][1666.78, 201.603]
[1415.5, -6.55552][1570.31, -7.36245][1614.84, 190.152][1667.23, 201.295]
[1415.52, -6.89334][1571.9, -7.62978][1612.77, 189.121][1666.38, 201.637]
[1415.47, -6.64203][1573.71, -7.60372][1612.07, 188.931][1666.61, 202.182]
[1415.02, -6.58358][1575.1, -7.41157][1610.65, 188.205][1664.11, 202.59]
[1414.27, -6.3678][1577.06, -7.0794][1612.55, 189.141][1664.27, 202.593]
[1412.7, -6.02672][1577.94, -6.63615][1605.15, 134.576][1652.27, 200.508]
[1414.29, -4.47559][1583.92, -6.18236][1608.36, 147.987][1653.71, 200.67]
[1411.25, -4.32847][1592.88, -5.68472][1610.28, 103.445][1642.51, 198.137]
[1407.89, -4.10969][1605.82, -5.18472][1609.42, 123.12][1645.77, 199.433]
[1408.95, -2.69341][1616.79, -4.4225][1612.29, 140.28][1648.94, 200.434]
[1405.52, -2.69646][1625.02, -4.04327][1612.76, 152.8][1652.04, 201.494]
[1402.43, -2.34445][1630.55, -3.67952][1614.28, 163.12][1651.84, 201.141]
[1400.13, -2.32459][1634.96, -3.35492][1617.49, 172.001][1647.94, 144.155]
[1399.11, -2.24215][1638.05, -3.03046][1623.71, 180.588][1644.71, 100.769]
[1397.02, -2.99431][1641.88, -3.83575][1624.56, 181.513][1643.62, 92.9802]
[1394.87, -3.77145][1645.83, -4.66779][1625.44, 182.469][1642.5, 84.9328]
[1392.74, -4.53954][1649.74, -5.49013][1626.31, 183.413][1641.4, 76.9791]
[1390.68, -5.27939][1653.5, -6.28225][1627.15, 184.323][1640.33, 69.3178]
[1388.56, -6.04259][1657.39, -7.09936][1628.02, 185.262][1639.23, 61.4147]
[1386.43, -6.81198][1661.3, -7.92311][1628.89, 186.208][1638.12, 53.4475]
[1384.35, -7.56024][1665.11, -8.72423][1629.74, 187.129][1637.04, 45.6991]
[1382.26, -8.31556][1668.95, -9.53289][1630.6, 188.058][1635.95, 37.8776]
[1380.13, -9.08193][1672.85, -10.3534][1631.47, 189][1634.85, 29.9417]
[1378.03, -9.84051][1676.71, -11.1656][1632.33, 189.933][1633.75, 22.0864]
[1375.88, -10.6121][1680.64, -11.9917][1633.2, 190.882][1632.64, 14.0962]
[1373.75, -11.3803][1684.55, -12.8142][1634.07, 191.827][1631.53, 6.14125]
[1371.67, -12.1326][1688.38, -13.6196][1634.93, 192.752][1630.45, -1.64857]
[1369.52, -12.9074][1692.32, -14.4491][1635.81, 193.705][1629.33, -9.67146]
[1367.38, -13.6785][1696.24, -15.2747][1636.68, 194.654][1628.22, -17.6566]
[1337.16, 10.4203][1553.93, -2.50469][1555.17, 189.184][1633.77, 69.4713]
[1330.28, 12.9523][1522.72, -1.32427][1547.43, 198.915][1637.49, 91.1242]
[1324.75, 24.4949][1488.98, -0.860999][1542.37, 212.341][1635.43, 111.043]
[1318.92, 43.183][1451.84, -0.601736][1530.49, 228.151][1629.52, 131.313]
[1311.95, 65.705][1425.43, 10.3653][1517.37, 249.086][1622.23, 157.335]
[1302.22, 90.4213][1400.3, 29.487][1503.54, 274.448][1611.07, 186.036]
[1291.61, 118.908][1375.79, 54.2034][1485.23, 301.658][1596.39, 217.534]
[1279.47, 155.566][1354.26, 84.8145][1468.06, 334.121][1578.45, 253.309]
[1266.48, 189.816][1335.24, 119.073][1451.92, 370.388][1559.4, 291.302]
[1254.21, 224.317][1319.32, 154.485][1437.1, 404.415][1541.22, 327.258]
[1243.3, 258.724][1303.31, 190.019][1421.43, 437.01][1523.14, 360.474]
[1234.16, 292.485][1290.93, 223.655][1408.44, 467.064][1508.77, 394.191]
[1226.56, 321.628][1280.84, 254.85][1395.06, 493.065][1495.41, 423.89]
[1220.53, 345.853][1275.21, 280.849][1385.98, 514.933][1484.77, 449.419]
[1215.58, 365.867][1268.77, 302.589][1378.19, 532.582][1475.45, 469.862]
[1212.27, 381.386][1265.86, 319.834][1371.45, 545.771][1468.34, 487.439]
[1210.07, 393.602][1265.63, 334.593][1368.16, 557.392][1462.99, 499.795]
[1209.85, 404.695][1264.59, 346.84][1368.12, 568.37][1457, 506.083]
[1210.57, 415.31][1266.03, 357.808][1369.09, 577.79][1455.66, 517.598]
[1212.19, 422.271][1268.24, 366.536][1371.1, 584.495][1456.19, 525.554]
