C1= C2= C3= C4= 
[1173, 356][1228, 313][1302, 487][1368, 435]
[1190.81, 433.304][1246.1, 382.063][1332.43, 578.883][1400.79, 520.531]
[1177.87, 432.145][1233.98, 381.006][1321.78, 580.628][1390.9, 521.527]
[1166.95, 430.594][1223.63, 378.431][1313.65, 580.652][1383.33, 521.293]
[1156.22, 428.844][1213.9, 376.193][1302.19, 579.195][1375.95, 521.924]
[1144.16, 427.29][1194.68, 378.514][1278.5, 548.499][1346.06, 539.578]
[1131.85, 428.505][1184.14, 379.074][1273.2, 560.667][1340.74, 539.251]
[1118.15, 430.843][1165.03, 384.868][1250.54, 540.103][1314.37, 559.115]
[1104.33, 436.286][1146.65, 391.598][1229.63, 527.253][1309.22, 559.018]
[1090.09, 444.305][1128.07, 399.441][1226.91, 555.59][1290.77, 571.324]
[1076.37, 456.143][1110.7, 409.393][1221.62, 582.781][1273.47, 585.272]
[1062.3, 467.155][1093.05, 420.96][1214.84, 607.171][1257.2, 598.782]
[1049.24, 478.539][1077.61, 431.899][1206.46, 627.958][1243.06, 612.212]
[1037.13, 488.644][1064.79, 440.779][1198.91, 646.039][1230.68, 623.659]
[1027.14, 494.455][1053.87, 446.81][1192.74, 657.699][1220.24, 630.998]
[1017.82, 496.07][1044, 450.322][1186.4, 664.954][1210.91, 634.385]
[1019.1, 482.654][1046.32, 448.069][1181.02, 668.326][1204.77, 634.527]
[1012.84, 483.127][1040.61, 446.288][1178.45, 668.268][1201.08, 631.693]
[1007.74, 479.44][1035.35, 439.96][1176.29, 664.217][1197.42, 625.731]
[1005.46, 473.586][1033.1, 431.97][1175.97, 657.514][1197.2, 615.954]
[1004.43, 466.23][1032.17, 422.954][1176.02, 649.27][1197.21, 607.163]
[1003.99, 458.597][1031.83, 416.331][1175.48, 640.562][1197.86, 595.502]
[1003.51, 451.917][1032.05, 407.568][1175.69, 634.062][1198.51, 587.36]
[1003.64, 446.595][1032.75, 400.639][1174.82, 626.742][1199.8, 581.412]
[1003.91, 443.084][1034.06, 396.455][1175.13, 622.772][1200.96, 577.11]
[1004.67, 440.553][1035.08, 393.984][1175.25, 619.452][1201.54, 574.187]
[1004.89, 438.947][1036.09, 392.148][1176.06, 617.184][1202.19, 572.824]
[1004.88, 438.992][1036.42, 391.461][1184.07, 603.889][1214.09, 564.809]
[1014.2, 423.936][1048.55, 389.941][1189.9, 593.456][1222.96, 557.624]
[1013.52, 429.206][1046.1, 389.033][1187.06, 596.375][1217.95, 559.389]
[1011.94, 430.854][1054.33, 386.371][1183.46, 598.747][1226.17, 553.09]
[1011.47, 431.107][1059.83, 383.801][1181.93, 600.429][1233.36, 547.958]
[1012.22, 431.047][1057.2, 384.497][1182.06, 601.978][1228.17, 552.548]
[1013.46, 431.63][1064.15, 383.373][1183.09, 603.205][1235.71, 547.818]
[1014.56, 432.449][1061.28, 385.181][1192, 593.342][1241.85, 545.732]
[1015.52, 432.295][1067.12, 382.952][1190.39, 595.227][1246.89, 543.104]
[1016.93, 431.387][1064.28, 383.307][1198.03, 585.941][1251.06, 541.483]
[1018.15, 430.221][1068.39, 380.587][1194.9, 588.297][1253.66, 537.31]
[1019.08, 428.143][1064.74, 379.003][1193.01, 588.675][1244, 540.859]
[1019.39, 424.988][1070.82, 375.13][1190.79, 588.314][1246.75, 534.765]
[1019.14, 421.242][1063.37, 373.963][1189.71, 587.002][1236.71, 536.732]
[1018.4, 416.972][1059.31, 368.581][1186.64, 582.633][1227.54, 535.478]
[1016.78, 411.256][1055.12, 363.708][1182.36, 576.265][1218.85, 532.668]
[1014.38, 405.12][1050.74, 357.947][1176.2, 568.485][1211.24, 527.095]
[1012.07, 398.89][1046.91, 352.014][1172.71, 561.832][1205.28, 521.851]
[1010.39, 393.737][1051.42, 345.964][1169.6, 556.64][1213.85, 511.239]
[1009.13, 390.982][1048.2, 344.49][1166.42, 552.733][1207.32, 510.18]
[1017.79, 375.972][1052.52, 340.347][1165.72, 549.807][1201.76, 509.465]
[1014.96, 377.537][1049.17, 339.301][1163.61, 547.738][1197.88, 509.661]
[1013.9, 378.551][1047.43, 338.26][1171.95, 535.38][1206.55, 503.046]
[1013.18, 378.344][1054.43, 335.564][1170.65, 535.925][1215.46, 496.911]
[1013.77, 378.55][1059.84, 333][1170.25, 536.165][1222.93, 491.141]
[1014.18, 376.737][1057.79, 331.578][1169.83, 535.201][1217.29, 493.468]
[1015.77, 375.58][1056.52, 331.022][1170.29, 534.504][1213.58, 495.046]
[1017.02, 373.703][1055.85, 329.605][1172.44, 533.862][1211.36, 495.568]
